Tên xe,Giá( VNĐ),Nhiên liệu,Công suất(HP),Chỗ ngồi,Mục đích,Tình trạng,Kiểu xe,Hộp số
Sorento PHEV 1.6 Turbo Signature AWD 6S,1.499.000.000,HYBRID,261,6,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sportage 1.6 Turbo Signature AWD (X-Line),999.000.000,Xăng,178,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sportage 2.0D Signature (X-Line),939.000.000,Dầu,184,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Carnival 2.2D Royal 4S,2.479.000.000,Dầu,199,4,Cá nhân & Gia đình,Mới,MPV,AT
Carnival 2.2D Royal 7S,2.499.000.000,Dầu,199,7,Cá nhân & Gia đình,Mới,MPV,AT
EV6 RWD,1.500.000.000,Điện,225,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
EV6 GT-Line AWD,1.700.000.000,Điện,320,5,Thể thao,Mới,SUV/CUV,AT
EV9 RWD,2.000.000.000,Điện,215,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
EV9 AWD,2.400.000.000,Điện,379,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sorento Plug-in Hybrid 1.6L Signature (Nâu),1.499.000.000,HYBRID,261,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sorento Plug-in Hybrid 1.6L Premium (Đen),1.399.000.000,HYBRID,261,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
C 200 Avantgarde,1.599.000.000,Xăng,204,5,Cá nhân & Gia đình,Mới,Sedan,AT
C 200 Avantgarde Plus,1.829.000.000,Xăng,204,5,Cá nhân & Gia đình,Mới,Sedan,AT
C 300 AMG,2.099.000.000,Xăng,258,5,Thể thao,Mới,Sedan,AT
E 180,2.100.000.000,Xăng,156,5,Cá nhân & Gia đình,Mới,Sedan,AT
E 200 Exclusive,2.540.000.000,Xăng,197,5,Cá nhân & Gia đình,Mới,Sedan,AT
E 300 AMG,3.200.000.000,Xăng,258,5,Thể thao,Mới,Sedan,AT
S 450 4MATIC,5.039.000.000,Xăng,367,5,Cá nhân & Gia đình,Mới,Sedan,AT
S 450 4MATIC Luxury,5.559.000.000,Xăng,367,5,Cá nhân & Gia đình,Mới,Sedan,AT
Mercedes-Maybach S 450 4MATIC,8.199.000.000,Xăng,367,4,Cá nhân & Gia đình,Mới,Sedan,AT
Mercedes-Maybach S 680 4MATIC,15.990.000.000,Xăng,612,4,Cá nhân & Gia đình,Mới,Sedan,AT
GLA 45 S 4MATIC+,2.999.000.000,Xăng,421,5,Thể thao,Mới,SUV/CUV,AT
GLB 200,1.739.000.000,Xăng,163,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mercedes-AMG GLB 35 4MATIC,2.339.000.000,Xăng,306,7,Thể thao,Mới,SUV/CUV,AT
GLC 200 4MATIC,2.299.000.000,Xăng,204,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
GLC 300 4MATIC,2.799.000.000,Xăng,258,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
GLE 450 4MATIC,4.669.000.000,Xăng,367,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
GLE 53 4MATIC+ Coupe,5.679.000.000,Xăng,435,5,Thể thao,Mới,SUV/CUV,AT
GLS 450 4MATIC,5.689.000.000,Xăng,367,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mercedes-Maybach GLS 600 4MATIC,11.999.000.000,Xăng,557,4,Cá nhân & Gia đình,Mới,SUV/CUV,AT
